,Perimeter,Eccentricity,Extent,Solidity,roundness,Compactness,ShapeFactor2,ShapeFactor4,y,Unnamed: 0,x1,x2,x3,y_pred
216,1082.9679999999998,0.8199177599099804,0.7675648073052777,0.9875682778522108,0.8213755396004842,0.7556181636527037,0.0010845770595921,0.9973404978202924,CALI,216.0,6.313073,-10.159491,-3.78942,BARBUNYA
304,751.828,0.6925408883013443,0.7054083372075004,0.9865388783201292,0.9107887026302196,0.8470905230795598,0.0020902677006752,0.994709756013771,SIRA,304.0,-3.5491736,5.438581,2.9026492,DERMASON
1118,905.5739999999998,0.805638828187442,0.6749211801797562,0.9850789835164836,0.8791326184435103,0.7657453312281414,0.0013047932004868,0.9898024356953584,HOROZ,1118.0,3.06044,-0.02076795,-4.5502877,SIRA
1156,744.37,0.765705170237917,0.6934859836094404,0.9892626878402448,0.8943179744404819,0.8007398755355155,0.001799613661001,0.99687904173765,DERMASON,1156.0,0.87953556,4.134813,0.06523053,SIRA
1157,972.177,0.792361857804675,0.7339851024208566,0.9818464891795112,0.8384954168822927,0.7782673325734835,0.0013065633441168,0.9928672580088804,CALI,1157.0,6.523282,-5.5528336,-4.633139,BARBUNYA
1224,742.108,0.7585143879485278,0.7409004010945759,0.9897346019028542,0.9019915139400088,0.8060014959033704,0.0018330696141166,0.996903458294268,SIRA,1224.0,-0.90178585,1.716484,1.9856737,DERMASON
1297,680.4229999999999,0.778937553866553,0.7526633120268371,0.9887740821248846,0.9012981024646556,0.7905693554660703,0.0018873240238528,0.996648722863268,SIRA,1297.0,1.690542,1.4378499,4.657388,DERMASON
1349,700.355,0.6519057232718334,0.7557525773195877,0.9904077386581642,0.9390630934609075,0.8693152787477569,0.0023883945545827,0.9965831846453572,DERMASON,1349.0,-6.89997,4.319853,5.867083,SEKER
1472,713.286,0.7491614142422414,0.8055194805194805,0.9887613582018172,0.91917983315605,0.8118444617255753,0.0019306089154244,0.9950239831227228,SIRA,1472.0,-2.2324154,-1.7821443,5.2723904,DERMASON
1660,754.588,0.7321081656597708,0.7845934650455927,0.9901704586320156,0.911487342712669,0.8247606399619629,0.0019214908437225,0.998593216029184,SEKER,1660.0,-3.9517548,-0.39174384,3.6635826,SIRA
1747,750.263,0.6943074273743568,0.7553304210428479,0.9881325843243112,0.907113632179944,0.8474528646328405,0.0021015611635186,0.9979127083516008,DERMASON,1747.0,-4.746431,2.5619383,3.489018,SIRA
1833,791.457,0.7755122258398601,0.707135991515031,0.984313725490196,0.8560080676280591,0.7931304240686567,0.001681153345326,0.9963938505379702,HOROZ,1833.0,2.205651,1.8429246,-1.0019997,SIRA
2145,773.977,0.7615306467239756,0.7452111190500493,0.9911754723384998,0.9189194384077816,0.8043626418125359,0.0017307273438671,0.9982570707275948,SEKER,2145.0,-2.509157,1.3171961,0.4882426,SIRA
2602,720.9789999999999,0.7402208780748009,0.786434539243528,0.9890269151138716,0.9238678664392688,0.8186664590305499,0.0019535889976213,0.9968038014751928,SIRA,2602.0,-2.973668,-0.57269484,4.646415,DERMASON
2631,835.917,0.8035437968488544,0.7181834288076537,0.989121372943736,0.8748081667608408,0.7701262108558549,0.0014414709552758,0.9963859376796506,SEKER,2631.0,-0.47808722,0.54911846,-3.6947503,SIRA
2820,748.438,0.8063711433111614,0.6615544442879279,0.9864261709724848,0.8428512969157018,0.7656406284503947,0.0016116968532711,0.9912002620217067,DERMASON,2820.0,3.7497206,1.6303579,-3.1096988,HOROZ
3433,760.636,0.7537655347425412,0.70462197734925,0.9883834649237888,0.8999822332286469,0.808538852606285,0.0018073763343447,0.99481334337833,DERMASON,3433.0,0.30503973,2.6918204,-0.14170435,SIRA
3528,1050.9450000000002,0.7509115772972996,0.8157761778451433,0.9846275027949994,0.8817851838553193,0.8096719379491358,0.0013271060518332,0.992680056117619,CALI,3528.0,5.3390694,-10.161287,-0.16833287,BARBUNYA
4075,763.489,0.7650458030793523,0.7688230994152047,0.9885797537362534,0.9069363471418402,0.8007737944962979,0.0017425214104301,0.9957495324488224,DERMASON,4075.0,-1.5210196,-0.9937599,1.1145996,SIRA
4122,715.7669999999999,0.7406788209739922,0.7364040634817021,0.9840266041541732,0.8854697368169046,0.8178786979234959,0.0020042316305456,0.9956334463612202,SIRA,4122.0,1.9708831,0.9121591,1.4184903,DERMASON
4162,865.7629999999999,0.7991622668186164,0.7338056971686973,0.9854943524678942,0.854260063775932,0.7714818237073227,0.0014158680313276,0.9901330889466826,CALI,4162.0,1.8027468,-1.0827687,-3.370609,SIRA
4393,974.117,0.8285058915840037,0.8134186034684433,0.9877261779781388,0.8472498296622626,0.7456029894040885,0.0011406326744216,0.992755945885312,HOROZ,4393.0,2.9263628,-8.25036,-5.806077,CALI
4667,693.307,0.8075793491429079,0.7726142017186793,0.9921015187153353,0.8931823220738271,0.7663699296457797,0.0016949600913653,0.9958693963934118,HOROZ,4667.0,2.171142,-0.4504166,4.7864184,DERMASON
4791,709.9259999999999,0.7542043121381526,0.7884763349381169,0.9891070542165352,0.8942907796135807,0.8097179469496184,0.0019511407147067,0.9984821691612404,SIRA,4791.0,-1.094275,-0.5193509,4.8068957,DERMASON
4851,705.5319999999999,0.7576040324070743,0.7079221599431594,0.9890803805321936,0.9055151074725096,0.8069928234516923,0.0019314532703079,0.997737118892274,HOROZ,4851.0,0.62925005,4.659793,2.4049115,DERMASON
4989,769.3979999999999,0.8216878783701929,0.7799778083868993,0.9884358029480216,0.865484155361563,0.7535314436438794,0.0014749023871458,0.9962660726464028,DERMASON,4989.0,-1.8965317,-2.7685575,-3.908594,SIRA
5011,729.778,0.7178319749309188,0.777534516765286,0.9911497749729716,0.9301563753634996,0.8336513545822715,0.0020310676274988,0.9982163523234848,SIRA,5011.0,-4.734225,0.8216417,4.2982864,DERMASON
5015,723.044,0.7505687400459692,0.774892134085629,0.9890912942173268,0.8979264767354782,0.8121636655813785,0.0019292357776355,0.9982103939466066,SIRA,5015.0,-1.5767765,-0.27625036,4.1758313,DERMASON
5022,750.717,0.7454059476290978,0.7578678499515251,0.9896046353101569,0.9063735615661224,0.8153466295057394,0.0018712711835292,0.9972687441508484,DERMASON,5022.0,-2.4304497,0.5810062,2.3473375,SIRA
5157,908.723,0.7076720507695007,0.7423431594860166,0.9873926768946172,0.7472765997096348,0.8394517743275106,0.0018580388758236,0.9973649402077688,SEKER,5157.0,5.5868425,-4.9804416,1.4865612,HOROZ
5239,772.6019999999999,0.7570807411443989,0.7054287163876205,0.9864257673934635,0.878130823587667,0.8065416732230188,0.0017880709636804,0.9956960648832592,DERMASON,5239.0,1.015199,2.0049443,-0.34307283,SIRA
6083,751.252,0.7620318700841019,0.7873884261376061,0.9861813111570352,0.8819043706609924,0.8028755753442589,0.0018100397152381,0.9954746703985656,DERMASON,6083.0,-0.18035056,-2.1575868,1.5913901,SIRA
6705,960.007,0.7506361213445426,0.7968003937976864,0.9885794552339074,0.8828510188558751,0.809447026341008,0.0014507311585379,0.9916585235437329,CALI,6705.0,3.6538727,-8.0405855,-1.5818504,BARBUNYA
7315,723.028,0.7552522212288968,0.7541259891069777,0.988389946933168,0.8820049380743025,0.8084215901343077,0.0019198302929781,0.9971182424838498,SIRA,7315.0,-0.11297217,1.1085126,3.494719,DERMASON
7795,707.965,0.7993385158112696,0.6921736375158428,0.9872330810077956,0.8763111147388344,0.7742078514290768,0.0017277126777817,0.9975316736651304,HOROZ,7795.0,3.5784764,4.1211767,1.8428583,DERMASON
7889,756.8059999999999,0.752563598683171,0.7078915747808877,0.987526807503636,0.8789466534224182,0.8108373412444722,0.0018538523927191,0.9983867138696249,DERMASON,7889.0,0.23195155,3.2828505,0.46703792,SIRA
7915,708.2869999999999,0.7243980382948395,0.7386900078678206,0.9915249762382512,0.9407172088727194,0.8297911858026268,0.0020521419152048,0.998798134216735,SIRA,7915.0,-2.7516272,3.8848095,3.6549315,DERMASON
7917,714.562,0.7297835876442961,0.7398415841584158,0.9912185286392698,0.9195178116795534,0.826521333748932,0.0020332087382004,0.999209116598866,SEKER,7917.0,-2.3709693,3.6583257,3.4008079,DERMASON
8014,772.4110000000001,0.6315476853112947,0.7868522408963585,0.9924919951418792,0.9466607016577622,0.8775826376753508,0.0022190045719448,0.993311616815397,SEKER,8014.0,-9.277525,4.3910103,2.53024,HOROZ
8650,717.954,0.7469610072282485,0.7266153846153847,0.9923832536639176,0.921137700700214,0.8148784676186555,0.0019375788365453,0.9987351925731434,SIRA,8650.0,-1.29826,3.982489,2.065474,DERMASON
8696,742.9599999999999,0.7076503552818582,0.7804998668543387,0.9905134332681584,0.9341634111611692,0.8398234965569122,0.0020352930914419,0.9982177330044872,SEKER,8696.0,-5.318278,1.0835156,4.1642337,SIRA
8739,717.703,0.7669942816259819,0.7036158034343152,0.9862462260986248,0.8606942811177603,0.7997997388194765,0.0018958951158074,0.9969230882781016,DERMASON,8739.0,2.663504,3.1193705,1.1831981,SIRA
8823,718.771,0.7706805212407652,0.6933515028213888,0.9886696406579272,0.8786919078361368,0.7968821316245545,0.0018531610373455,0.9965465724525387,SIRA,8823.0,2.2406352,4.249029,1.3398104,DERMASON
8846,743.365,0.6481972528271561,0.7661253690665455,0.988136213841084,0.9205246456368946,0.8716927794698743,0.0022914494460358,0.9978670700035204,SIRA,8846.0,-8.284006,2.5681782,5.705835,SEKER
9335,735.516,0.7502372377306725,0.770877316443819,0.989809492733616,0.9160252816574276,0.8122819357431555,0.0018785133456519,0.9979327742126748,SIRA,9335.0,-2.296722,-0.18181579,3.3574684,DERMASON
9675,793.417,0.7473721581277368,0.7377790748577265,0.98981989036805,0.9083567245276848,0.8146418247728765,0.001764046973247,0.9988495891919492,CALI,9675.0,-2.7582026,2.386165,-0.14523685,SIRA
9722,757.499,0.7357022182714947,0.7999429982899487,0.9907516355250152,0.92201534243912,0.8222521633409233,0.0018858349953099,0.9982186537250975,DERMASON,9722.0,-4.12714,-1.145009,3.5201797,SIRA
9731,762.8499999999999,0.7648709987254119,0.7222398589065255,0.9879613992762364,0.8842927702216007,0.800479737842825,0.0017642234737251,0.9946976770611352,DERMASON,9731.0,0.9929035,2.1308446,-0.14057711,SIRA
10022,740.834,0.7111535868929679,0.7694707627524165,0.9895630769230768,0.9204599756742514,0.8375206392185136,0.0020394025062974,0.9977300464565548,DERMASON,10022.0,-4.864055,1.1993803,4.1017427,SIRA
10070,731.491,0.7189856857546764,0.7437528482454808,0.9897910191292044,0.9198867721751768,0.8324065049545113,0.0020284764791315,0.9969435764520742,DERMASON,10070.0,-2.9968753,3.3490622,2.9700143,SIRA
10329,706.3369999999999,0.6608043327405405,0.8339256424275561,0.9857546788743772,0.9220155094110224,0.8624078414995546,0.0023334407317573,0.99092551436521,SIRA,10329.0,-5.585562,0.7610576,7.842447,DERMASON
10608,725.5759999999999,0.7579174432983402,0.7435275080906149,0.9887425212553794,0.8993803899812581,0.8066797847905368,0.001882299207014,0.9975194237507916,SIRA,10608.0,-0.34060544,1.6343511,2.7428772,DERMASON
